HDG;PITCH;ROLL;ALT;EW_POS;NS_POS
-88.3 ; 11.67 ; 0.56 ; 1136.5977783203125 ; 2974.677734375 ; 3927.095703125
-88.29 ; 11.81 ; 0.54 ; 1137.28369140625 ; 2981.0224609375 ; 3926.921875
-88.29 ; 11.95 ; 0.54 ; 1137.987548828125 ; 2987.3681640625 ; 3926.748046875
-88.27 ; 12.05 ; 0.53 ; 1138.70947265625 ; 2993.6259765625 ; 3926.6611328125
-88.27 ; 12.13 ; 0.51 ; 1139.448486328125 ; 2999.970703125 ; 3926.4873046875
-88.25 ; 12.21 ; 0.5 ; 1140.202392578125 ; 3006.2294921875 ; 3926.3134765625
-88.25 ; 12.28 ; 0.5 ; 1140.9703369140625 ; 3012.57421875 ; 3926.2265625
-88.24 ; 12.36 ; 0.48 ; 1141.7523193359375 ; 3018.83203125 ; 3926.1396484375
-88.22 ; 12.45 ; 0.48 ; 1142.5484619140625 ; 3025.08984375 ; 3925.9658203125
-88.22 ; 12.54 ; 0.46 ; 1143.356201171875 ; 3031.3486328125 ; 3925.7919921875
-88.21 ; 12.64 ; 0.46 ; 1144.176513671875 ; 3037.6064453125 ; 3925.6181640625
-88.19 ; 12.75 ; 0.46 ; 1145.0076904296875 ; 3043.8642578125 ; 3925.4443359375
-88.19 ; 12.88 ; 0.48 ; 1145.8507080078125 ; 3050.2099609375 ; 3925.2705078125
-88.18 ; 13.01 ; 0.48 ; 1146.705322265625 ; 3056.4677734375 ; 3925.0966796875
-88.16 ; 13.15 ; 0.48 ; 1147.57177734375 ; 3062.7255859375 ; 3924.9228515625
-88.15 ; 13.29 ; 0.48 ; 1148.4498291015625 ; 3068.896484375 ; 3924.7490234375
-88.15 ; 13.43 ; 0.5 ; 1149.3397216796875 ; 3075.1552734375 ; 3924.5751953125
-88.13 ; 13.57 ; 0.51 ; 1150.2412109375 ; 3081.4130859375 ; 3924.48828125
-88.11 ; 13.71 ; 0.53 ; 1151.1544189453125 ; 3087.6708984375 ; 3924.2275390625
-88.1 ; 13.85 ; 0.54 ; 1152.0810546875 ; 3093.755859375 ; 3924.140625
-88.07 ; 13.98 ; 0.56 ; 1153.0185546875 ; 3100.013671875 ; 3923.966796875
-88.05 ; 14.11 ; 0.59 ; 1153.96923828125 ; 3106.1845703125 ; 3923.79296875
-88.04 ; 14.24 ; 0.6 ; 1154.930908203125 ; 3112.4423828125 ; 3923.619140625
-88.02 ; 14.36 ; 0.64 ; 1155.9044189453125 ; 3118.52734375 ; 3923.3583984375
-88.0 ; 14.48 ; 0.67 ; 1156.8895263671875 ; 3124.6982421875 ; 3923.271484375
-87.99 ; 14.59 ; 0.7 ; 1157.8863525390625 ; 3130.9560546875 ; 3923.0107421875
-87.96 ; 14.71 ; 0.75 ; 1158.8941650390625 ; 3137.0400390625 ; 3922.8369140625
-87.94 ; 14.83 ; 0.78 ; 1159.912841796875 ; 3143.125 ; 3922.6630859375
-87.93 ; 14.94 ; 0.81 ; 1160.9425048828125 ; 3149.208984375 ; 3922.4892578125
-87.9 ; 15.06 ; 0.85 ; 1161.9815673828125 ; 3155.3798828125 ; 3922.3154296875
-87.88 ; 15.18 ; 0.9 ; 1163.03076171875 ; 3161.46484375 ; 3922.1416015625
-87.86 ; 15.29 ; 0.93 ; 1164.0916748046875 ; 3167.6357421875 ; 3921.9677734375
-87.83 ; 15.41 ; 0.98 ; 1165.1612548828125 ; 3173.6328125 ; 3921.70703125
-87.82 ; 15.53 ; 1.03 ; 1166.2408447265625 ; 3179.8037109375 ; 3921.533203125
-87.79 ; 15.65 ; 1.07 ; 1167.3306884765625 ; 3185.8017578125 ; 3921.359375
-87.75 ; 15.76 ; 1.12 ; 1168.429931640625 ; 3191.97265625 ; 3921.0986328125
-87.74 ; 15.88 ; 1.17 ; 1169.5384521484375 ; 3197.9697265625 ; 3921.01171875
-87.71 ; 15.99 ; 1.21 ; 1170.656494140625 ; 3203.966796875 ; 3920.7509765625
-87.68 ; 16.11 ; 1.26 ; 1171.7838134765625 ; 3209.96484375 ; 3920.5771484375
-87.66 ; 16.22 ; 1.31 ; 1172.92041015625 ; 3215.9619140625 ; 3920.31640625
-87.63 ; 16.33 ; 1.35 ; 1174.06494140625 ; 3221.958984375 ; 3920.2294921875
-87.6 ; 16.43 ; 1.4 ; 1175.2196044921875 ; 3228.0439453125 ; 3919.96875
-87.57 ; 16.54 ; 1.46 ; 1176.382080078125 ; 3234.041015625 ; 3919.7080078125
-87.54 ; 16.65 ; 1.51 ; 1177.55322265625 ; 3239.951171875 ; 3919.447265625
-87.5 ; 16.75 ; 1.57 ; 1178.7320556640625 ; 3245.9482421875 ; 3919.2734375
-87.47 ; 16.85 ; 1.62 ; 1179.9188232421875 ; 3251.859375 ; 3919.099609375
-87.44 ; 16.95 ; 1.68 ; 1181.11328125 ; 3257.76953125 ; 3918.8388671875
-87.41 ; 17.05 ; 1.73 ; 1182.3155517578125 ; 3263.6796875 ; 3918.6650390625
-87.38 ; 17.16 ; 1.79 ; 1183.5257568359375 ; 3269.5029296875 ; 3918.404296875
-87.35 ; 17.26 ; 1.84 ; 1184.7420654296875 ; 3275.4140625 ; 3918.1435546875
-87.3 ; 17.36 ; 1.9 ; 1185.965576171875 ; 3281.32421875 ; 3917.9697265625
